sentence,label,severity
The entire conversation sounds heavily filtered and dark,SPEECH_UNCLEAR,0.6
Speech is completely underwater and lacks all definition,SPEECH_UNCLEAR,0.85
A minor loss of dialogue clarity is present over here,SPEECH_UNCLEAR,0.14
The voice track is completely unintelligible to our ears,SPEECH_UNCLEAR,0.9
I hear muddled vocal signals but zero actual semantic meaning,SPEECH_UNCLEAR,0.8
The speech is extremely distorted and thoroughly mangled,SPEECH_UNCLEAR,0.95
Words sound completely smeared across the time slots,SPEECH_UNCLEAR,0.7
The articulation level is genuinely impossible to decode,SPEECH_UNCLEAR,0.85
I notice a constant phonetic smearing in this recording,SPEECH_UNCLEAR,0.45
The phrases are running together into total absolute mush,SPEECH_UNCLEAR,0.8
Dialogue comprehension is completely shut down right now,SPEECH_UNCLEAR,1.0
The spoken sentences sound completely masked and dull,SPEECH_UNCLEAR,0.75
A moderate amount of vocal blurring is tracking on line,SPEECH_UNCLEAR,0.5
The verbal signal lacks all crisp presence and edge,SPEECH_UNCLEAR,0.65
Every sentence sounds completely smeared and hard to parse,SPEECH_UNCLEAR,0.7
The speaker sounds exceptionally far away and muffled,SPEECH_UNCLEAR,0.8
I can barely pull the spoken signal out of the blend,SPEECH_UNCLEAR,0.55
The conversation sounds completely chaotic and broken up,SPEECH_UNCLEAR,0.85
Speech intelligibility is severely compromised right now,SPEECH_UNCLEAR,0.9
A slight lack of phonetic crispness is tracking here,SPEECH_UNCLEAR,0.12
The words are thoroughly washed out by heavy echo loops,SPEECH_UNCLEAR,0.7
I hear voices but they sound entirely like random noise,SPEECH_UNCLEAR,0.85
The dialogue is totally incomprehensible due to mushiness,SPEECH_UNCLEAR,0.95
Every consonant is completely missing from the phrasing,SPEECH_UNCLEAR,0.75
The talker is completely unintelligible from this room,SPEECH_UNCLEAR,0.8
I am struggling intensely to follow these basic words,SPEECH_UNCLEAR,0.65
The speech band sounds heavily low-passed and unnatural,SPEECH_UNCLEAR,0.55
A microscopic blur is tracking on the main voice channel,SPEECH_UNCLEAR,0.05
The conversation is completely and utterly uninterpretable,SPEECH_UNCLEAR,1.0
Voices are highly muffled like they are behind plastic,SPEECH_UNCLEAR,0.65
The speech structure is completely dissolved into echo,SPEECH_UNCLEAR,0.8
I notice severe phonetic degradation across the channel,SPEECH_UNCLEAR,0.7
The voice lacks all high-frequency presence and clarity,SPEECH_UNCLEAR,0.6
I cannot make out a single word from the presentation,SPEECH_UNCLEAR,0.85
The words are extremely fuzzy and bleed into silence,SPEECH_UNCLEAR,0.6
Speech is completely underwater and thoroughly degraded,SPEECH_UNCLEAR,0.8
A moderate level of speech blurring affects this track,SPEECH_UNCLEAR,0.45
The dialogue track is intensely smeared and broken down,SPEECH_UNCLEAR,0.85
The speaker is totally unintelligible due to compression,SPEECH_UNCLEAR,0.9
Every single phrase sounds completely muddy and unreadable,SPEECH_UNCLEAR,0.75
I am having an incredibly hard time tracking the lyrics,SPEECH_UNCLEAR,0.65
The entire speech signal sounds heavily masked and dead,SPEECH_UNCLEAR,0.7
A mild blur affects the vocal track clarity completely,SPEECH_UNCLEAR,0.35
The spoken words are entirely running together over here,SPEECH_UNCLEAR,0.75
Dialogue intelligibility is completely and utterly ruined,SPEECH_UNCLEAR,1.0
Voices are highly distorted and completely washed out,SPEECH_UNCLEAR,0.8
I cannot resolve any specific details of the conversation,SPEECH_UNCLEAR,0.65
The narration track sounds completely thick and unreadable,SPEECH_UNCLEAR,0.55
Every word is completely washed out by the channel hum,SPEECH_UNCLEAR,0.7
The speaker sounds like they are inside an iron box,SPEECH_UNCLEAR,0.8
I can barely track the fast portions of the dialogue,SPEECH_UNCLEAR,0.45
The speech path is severely broken and thoroughly ruined,SPEECH_UNCLEAR,0.95
Vocal clarity is highly unstable and thoroughly broken,SPEECH_UNCLEAR,0.85
The phrases are extremely blurry around the word ends,SPEECH_UNCLEAR,0.6
I am experiencing severe issues parsing the audio text,SPEECH_UNCLEAR,0.7
The entire conversation sounds heavily filtered and thick,SPEECH_UNCLEAR,0.55
A minor loss of dialogue clarity is tracking right here,SPEECH_UNCLEAR,0.12
The voice track is completely unintelligible to the group,SPEECH_UNCLEAR,0.85
I hear muddled vocal signals but zero actual syntax track,SPEECH_UNCLEAR,0.75
The speech is extremely distorted and completely broken,SPEECH_UNCLEAR,0.9
Words sound completely smeared across the audio blocks,SPEECH_UNCLEAR,0.65
The articulation level is genuinely painful to follow now,SPEECH_UNCLEAR,0.8
The volume is ever so slightly above comfortable,TOO_LOUD,0.04
There is a barely noticeable excess in the output level,TOO_LOUD,0.06
Just the tiniest bit too loud for me,TOO_LOUD,0.08
The volume is just a whisker above ideal,TOO_LOUD,0.07
A very subtle excess in output volume,TOO_LOUD,0.1
The output is fractionally louder than I would like,TOO_LOUD,0.1
Just slightly too much volume barely noticeable,TOO_LOUD,0.12
The sound level is a tiny bit high for my taste,TOO_LOUD,0.15
Barely noticeable but the volume is a hair too high,TOO_LOUD,0.08
The volume is ever so slightly higher than ideal,TOO_LOUD,0.05
Just the tiniest bit too much output volume,TOO_LOUD,0.08
A microscopic increase in volume over my preference,TOO_LOUD,0.05
The output level is almost perfect but just a touch high,TOO_LOUD,0.1
It is a little bit too loud for me,TOO_LOUD,0.2
Slightly too much volume overall,TOO_LOUD,0.22
A small reduction in volume would help,TOO_LOUD,0.2
The output is a bit louder than comfortable,TOO_LOUD,0.25
Could you turn it down just a little please,TOO_LOUD,0.18
The volume is mildly too high for this environment,TOO_LOUD,0.25
A minor volume reduction would be appreciated,TOO_LOUD,0.2
Slightly over my comfortable listening level,TOO_LOUD,0.22
The gain level is a bit high,TOO_LOUD,0.28
Just a touch too much amplification for me,TOO_LOUD,0.18
The sound is somewhat louder than I prefer,TOO_LOUD,0.25
Can you reduce the volume a little bit please,TOO_LOUD,0.2
